Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
0,0,0,Electrotactile,True,0,4.177765,15.72223,9.939545,0.003446759,0.002291432,0.01232852,1.158081,True,1,False,15.69669,23,Male
0,1,1,Electrotactile,False,0,4.166656,10.86221,5.214783,0.007336935,0.006234232,0.01231449,1.151245,True,1,False,10.83514,23,Male
0,2,2,Electrotactile,False,0,3.722229,7.595947,2.507843,0.004953267,0.004230007,0.01026018,0.7095337,True,1,False,7.570587,23,Male
0,3,3,Electrotactile,True,0,3.533356,7.551849,2.589569,0.01053923,0.006513197,0.007545935,0.5131226,True,1,False,7.525909,23,Male
0,4,4,Electrotactile,True,0,3.600006,6.964081,1.94812,0.009862626,0.007481437,0.006110271,0.593811,True,1,False,6.938721,23,Male
0,5,5,Electrotactile,False,0,3.533325,7.641541,2.617767,0.01015584,0.007513048,0.005866123,0.52005,True,1,False,7.617828,23,Male
0,6,6,Electrotactile,True,0,3.522217,7.219421,2.365356,0.00788573,0.005929353,0.006654848,0.5113831,True,1,False,7.192963,23,Male
0,7,7,Electrotactile,False,0,3.522247,6.563019,1.701813,0.01155201,0.006987022,0.006562095,0.5037842,True,1,False,6.537018,23,Male
0,8,8,Electrotactile,True,0,3.455566,7.064301,2.238068,0.005420155,0.004852993,0.01526124,0.4407654,True,1,False,7.039215,23,Male
0,9,9,Electrotactile,True,0,3.522247,7.108154,2.330414,0.007190896,0.004843547,0.007369536,0.5099792,True,1,False,7.082489,23,Male
0,10,10,Electrotactile,False,0,3.5,6.852814,2.044464,0.008674045,0.006969877,0.01035098,0.4836426,True,1,False,6.826141,23,Male
0,11,11,Electrotactile,False,0,3.511108,5.808441,1.046692,0.002626574,0.002594159,0.01268834,0.4933472,True,1,False,5.782806,23,Male
1,0,12,Both,False,1,3.43335,8.796753,3.886444,0.02224969,0.01984674,0.0089814,0.4562988,True,1,False,8.772156,23,Male
1,1,13,Both,True,0,3.555542,8.806915,3.913635,0.007411639,0.005977917,0.0103184,0.5377808,True,1,False,8.781311,23,Male
1,2,14,Both,False,0,3.622223,6.808838,1.960449,0.01024248,0.007629306,0.005733887,0.6077881,True,1,False,6.782043,23,Male
1,3,15,Both,True,0,3.533325,6.71991,1.941681,0.00602982,0.00579219,0.01232354,0.5227356,True,1,False,6.694061,23,Male
1,4,16,Both,True,0,3.477783,7.174377,2.377991,0.005286255,0.003278105,0.01484722,0.4585876,True,1,False,7.147186,23,Male
1,5,17,Both,True,0,3.533325,7.452332,2.613251,0.00516567,0.003597883,0.01114826,0.5171509,True,1,False,7.426575,23,Male
1,6,18,Both,True,0,3.455566,7.418549,2.584473,0.007328331,0.006531449,0.008375133,0.4425354,True,1,False,7.393005,23,Male
1,7,19,Both,False,0,3.5,6.319489,1.432159,0.00931619,0.004201638,0.009860025,0.489624,True,1,False,6.293091,23,Male
1,8,20,Both,False,0,3.422211,5.986389,1.190277,0.006139991,0.004975391,0.01230252,0.4023743,True,1,False,5.957703,23,Male
1,9,21,Both,False,0,3.422211,6.030212,1.237122,0.001746323,0.001746323,0.02016605,0.4056396,True,1,False,6.004333,23,Male
1,10,22,Both,False,0,3.422241,6.898132,2.106079,0.00691366,0.00438182,0.007390521,0.4089966,True,1,False,6.872742,23,Male
1,11,23,Both,True,0,3.299988,5.852966,1.176392,0.001787441,0.001787441,0.02301545,0.2885132,True,1,False,5.828003,23,Male
2,0,24,NoFeedback,True,1,3.466614,11.97266,7.149658,0.01614038,0.01095053,0.009147737,0.4871216,True,1,False,11.94922,23,Male
2,1,25,NoFeedback,False,0,3.522217,8.152527,3.298706,0.01437566,0.009758607,0.005721132,0.5025635,True,1,False,8.127625,23,Male
2,2,26,NoFeedback,False,0,3.488892,6.086609,1.27002,0.01229124,0.009158872,0.004441302,0.4710693,True,1,False,6.061584,23,Male
2,3,27,NoFeedback,True,0,3.544434,7.330444,2.518066,0.008969173,0.007010967,0.00827305,0.5308228,True,1,False,7.30481,23,Male
2,4,28,NoFeedback,True,0,3.43335,5.920227,1.119141,0.006299025,0.005089693,0.01015597,0.4219971,True,1,False,5.893982,23,Male
2,5,29,NoFeedback,True,0,3.388916,5.885315,1.111084,0.0105442,0.008233864,0.003882334,0.3684692,True,1,False,5.852173,23,Male
2,6,30,NoFeedback,False,0,3.477783,7.440552,2.635986,0.01226958,0.01025588,0.003877895,0.4611816,True,1,False,7.412292,23,Male
2,7,31,NoFeedback,True,0,3.399963,5.831665,1.128235,0.004043522,0.003395519,0.01253849,0.3896484,True,1,False,5.805176,23,Male
2,8,32,NoFeedback,True,0,3.544434,7.740662,2.831787,0.01093065,0.009771044,0.002697121,0.5333252,True,1,False,7.715576,23,Male
2,9,33,NoFeedback,False,0,3.43335,6.474976,1.678589,0.01400226,0.01074387,0.003101924,0.413147,True,1,False,6.449463,23,Male
2,10,34,NoFeedback,False,0,3.388855,6.89679,2.170166,0.02290982,0.02063629,0.008837731,0.3741455,True,1,False,6.870911,23,Male
2,11,35,NoFeedback,False,0,3.444458,5.864136,1.095459,0.02347406,0.01744743,0.007725026,0.4310913,True,1,False,5.838684,23,Male
3,0,36,Visual,False,0,3.5,6.896973,2.046509,0.007623705,0.005612436,0.006865407,0.4830322,True,1,False,6.872803,23,Male
3,1,37,Visual,True,0,3.411133,7.08606,2.371582,0.007323019,0.005386577,0.008127619,0.3964844,True,1,False,7.061279,23,Male
3,2,38,Visual,True,0,3.388855,6.563904,1.830078,0.005849567,0.004815036,0.01052909,0.3775024,True,1,False,6.536926,23,Male
3,3,39,Visual,True,0,3.522217,7.152039,2.300171,0.009231644,0.007232719,0.006670855,0.5021973,True,1,False,7.125244,23,Male
3,4,40,Visual,False,0,3.399963,6.864075,2.125,0.004378709,0.00281571,0.009334335,0.3823242,True,1,False,6.838379,23,Male
3,5,41,Visual,True,0,3.444458,6.974731,2.183838,0.005313811,0.00306761,0.01005507,0.4307251,True,1,False,6.950317,23,Male
3,6,42,Visual,False,0,3.444458,5.985962,1.153015,0.007647339,0.00661208,0.01141135,0.432251,True,1,False,5.960388,23,Male
3,7,43,Visual,False,0,3.411072,6.086365,1.311951,0.006342481,0.004417755,0.006943074,0.3909302,True,1,False,6.061218,23,Male
3,8,44,Visual,True,0,3.444458,6.330933,1.569092,0.01046837,0.005235841,0.006627122,0.4271851,True,1,False,6.304688,23,Male
3,9,45,Visual,False,0,3.43335,7.307434,2.416626,0.005426227,0.004249151,0.0100739,0.4188843,True,1,False,7.282227,23,Male
3,10,46,Visual,True,0,3.399963,6.097717,1.35321,0.006273392,0.005527205,0.01106798,0.3892212,True,1,False,6.072021,23,Male
3,11,47,Visual,False,0,3.477783,5.942383,1.134399,0.008898096,0.003946444,0.006739784,0.4577637,True,1,False,5.91748,23,Male
4,0,48,Electrotactile,False,1,2.544434,8.638184,3.441345,0.01066424,0.009033731,0.01649846,-0.4664917,True,1,False,8.616943,23,Male
4,1,49,Electrotactile,False,1,1.311157,5.997681,1.0896,0.001188801,0.001188801,0.02070924,-1.708801,True,1,False,5.973206,23,Male
4,2,50,Electrotactile,False,0,3.477783,6.497864,1.748657,0.009963656,0.008134179,0.00407517,0.4612427,True,1,False,6.473389,23,Male
4,3,51,Electrotactile,True,0,3.611145,6.895935,1.872681,0.01011717,0.007549336,0.005720926,0.5966187,True,1,False,6.871094,23,Male
4,4,52,Electrotactile,True,0,3.5,7.17572,2.320129,0.01053045,0.009291526,0.007957128,0.4890747,True,1,False,7.15155,23,Male
