Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
0,0,0,NoFeedback,True,0,5.433319,67.67841,7.754456,0.03864077,0.02206884,0.01342627,2.414307,True,1,False,67.62692,24,Female
0,1,1,NoFeedback,False,0,4.866669,14.63812,7.027069,0.03568075,0.02154572,0.01379351,1.853943,True,1,False,14.61237,24,Female
0,2,2,NoFeedback,False,0,4.5,10.45078,3.844666,0.03010065,0.02153516,0.01390418,1.480927,True,1,False,10.42545,24,Female
0,3,3,NoFeedback,True,0,4.588898,13.06085,6.327087,0.03688567,0.02578221,0.01201151,1.574493,True,1,False,13.03564,24,Female
0,4,4,NoFeedback,True,0,3.866669,13.98315,7.766296,0.02148732,0.0157862,0.01057586,0.8480835,True,1,False,13.95807,24,Female
0,5,5,NoFeedback,False,1,2.344452,13.24915,6.238739,0.03420344,0.0234799,0.04028061,-0.6690369,True,1,False,13.22391,24,Female
0,6,6,NoFeedback,True,0,4.200012,12.65167,6.466614,0.02828557,0.02269229,0.009065405,1.182068,True,1,False,12.62656,24,Female
0,7,7,NoFeedback,False,0,3.922211,12.22787,5.783417,0.02285872,0.01467636,0.007878697,0.9090271,True,1,False,12.20184,24,Female
0,8,8,NoFeedback,True,0,3.888885,11.02841,4.814056,0.03440448,0.02391968,0.01249667,0.8692627,True,1,False,11.0032,24,Female
0,9,9,NoFeedback,False,0,4.311127,14.27023,8.09314,0.0495752,0.03131314,0.01772716,1.29837,True,1,False,14.24588,24,Female
0,10,10,NoFeedback,True,0,3.933319,11.62973,5.488586,0.02141054,0.0134155,0.01076327,0.913147,True,1,False,11.60461,24,Female
0,11,11,NoFeedback,False,0,3.922211,9.961884,3.770111,0.02948344,0.02089862,0.01081778,0.9077454,True,1,False,9.938538,24,Female
1,0,12,Visual,True,0,4.255554,13.66241,7.701782,0.0311064,0.01866269,0.01035878,1.239929,True,1,False,13.63867,24,Female
1,1,13,Visual,False,0,3.844421,9.195862,3.395935,0.02289221,0.01464068,0.006270849,0.8329468,True,1,False,9.169678,24,Female
1,2,14,Visual,False,0,3.766724,9.728455,3.933167,0.01611049,0.01292637,0.006767351,0.7473755,True,1,False,9.702881,24,Female
1,3,15,Visual,True,0,3.822266,10.21918,4.415894,0.02488126,0.01755944,0.008857597,0.8082886,True,1,False,10.19269,24,Female
1,4,16,Visual,False,0,3.655518,9.305908,3.820618,0.01829653,0.01495828,0.008466904,0.6455688,True,1,False,9.281067,24,Female
1,5,17,Visual,True,0,3.722229,11.91742,6.380005,0.02655375,0.0214649,0.01404481,0.706665,True,1,False,11.89221,24,Female
1,6,18,Visual,True,0,3.744446,10.9613,5.038635,0.02133776,0.01786637,0.009716389,0.7325439,True,1,False,10.93774,24,Female
1,7,19,Visual,True,0,3.666626,12.9942,7.589844,0.02760015,0.02566125,0.01313367,0.649292,True,1,False,12.96918,24,Female
1,8,20,Visual,False,0,3.733337,8.662842,3.083557,0.01913127,0.01518934,0.00794572,0.7202759,True,1,False,8.637329,24,Female
1,9,21,Visual,True,0,3.755554,12.06226,6.60968,0.03688882,0.03095187,0.01515164,0.7373657,True,1,False,12.0365,24,Female
1,10,22,Visual,False,0,3.766663,8.040588,2.259705,0.01586517,0.01050234,0.00341591,0.7508545,True,1,False,8.017151,24,Female
1,11,23,Visual,False,0,3.733337,11.78394,6.307007,0.02621921,0.02507453,0.0126917,0.7225952,True,1,False,11.7597,24,Female
2,0,24,Electrotactile,False,0,3.799988,11.3728,5.638977,0.03600806,0.02146994,0.01205493,0.7878418,True,1,False,11.34833,24,Female
2,1,25,Electrotactile,False,0,3.64447,10.31744,4.766724,0.01954015,0.01577267,0.00788307,0.6251221,True,1,False,10.29376,24,Female
2,2,26,Electrotactile,False,0,3.611084,9.185059,3.537659,0.02003195,0.01520708,0.01017935,0.5952148,True,1,False,9.160889,24,Female
2,3,27,Electrotactile,True,0,3.811096,10.39502,4.485413,0.0405275,0.02981135,0.01647066,0.800415,True,1,False,10.36987,24,Female
2,4,28,Electrotactile,False,0,3.822266,9.004089,3.156555,0.02630819,0.02262459,0.0127124,0.803833,True,1,False,8.979797,24,Female
2,5,29,Electrotactile,True,0,3.611084,8.932129,3.316284,0.02287889,0.01741069,0.007923121,0.5968628,True,1,False,8.906982,24,Female
2,6,30,Electrotactile,True,0,3.677795,8.742126,3.386597,0.01675374,0.01360199,0.006777423,0.666626,True,1,False,8.718262,24,Female
2,7,31,Electrotactile,True,0,3.655579,10.6283,5.134888,0.01796474,0.01698124,0.01381843,0.6387939,True,1,False,10.60419,24,Female
2,8,32,Electrotactile,True,0,3.611084,8.995972,3.461426,0.01635696,0.01438807,0.005516218,0.5975952,True,1,False,8.970947,24,Female
2,9,33,Electrotactile,False,0,3.600037,7.885986,2.377014,0.01047331,0.007671447,0.004093239,0.5905151,True,1,False,7.861145,24,Female
2,10,34,Electrotactile,True,0,3.633301,10.29584,4.813232,0.02340803,0.0219858,0.009035961,0.616394,True,1,False,10.27094,24,Female
2,11,35,Electrotactile,False,0,3.477783,7.685303,2.272888,0.01404019,0.0121073,0.001915578,0.4650879,True,1,False,7.661133,24,Female
3,0,36,Both,False,0,3.56665,8.441223,3.047241,0.01387634,0.00928951,0.003738225,0.5505371,True,1,False,8.418274,24,Female
3,1,37,Both,False,0,3.577759,8.019043,2.640198,0.01192429,0.009544786,0.002493499,0.5641479,True,1,False,7.995667,24,Female
3,2,38,Both,True,0,3.64447,12.67169,7.155212,0.01934066,0.01893309,0.01041663,0.6258545,True,1,False,12.64734,24,Female
3,3,39,Both,False,0,3.666626,8.573608,3.138672,0.01174424,0.01000886,0.003414964,0.6525879,True,1,False,8.549255,24,Female
3,4,40,Both,True,0,3.911072,9.685303,3.841919,0.03219724,0.02809017,0.01473726,0.8999023,True,1,False,9.660583,24,Female
3,5,41,Both,False,0,3.900024,9.12915,3.556458,0.01518889,0.01270587,0.004594845,0.8828735,True,1,False,9.104431,24,Female
3,6,42,Both,True,0,3.777771,11.85138,6.482483,0.02031659,0.01737263,0.008901208,0.7648315,True,1,False,11.82617,24,Female
3,7,43,Both,False,0,3.711121,12.26062,6.776428,0.0222179,0.02138289,0.009912368,0.6924438,True,1,False,12.23676,24,Female
3,8,44,Both,True,0,3.566711,14.87207,9.593018,0.01560811,0.01156885,0.008132058,0.5546875,True,1,False,14.84668,24,Female
3,9,45,Both,True,0,3.622253,8.151123,2.678162,0.008994714,0.006449006,0.005540511,0.6021118,True,1,False,8.126831,24,Female
3,10,46,Both,False,0,3.544434,10.21948,4.925842,0.006901854,0.005648714,0.01111517,0.5286865,True,1,False,10.19519,24,Female
3,11,47,Both,True,0,3.744446,10.68402,5.297058,0.02007396,0.01241164,0.008890654,0.7341919,True,1,False,10.65857,24,Female
4,0,48,NoFeedback,True,0,3.666687,9.639099,4.070313,0.01841116,0.01527329,0.009401438,0.6513062,True,1,False,9.617249,24,Female
4,1,49,NoFeedback,False,1,1.988892,8.250977,2.585693,0.0172233,0.01356667,0.01510623,-1.023132,True,1,False,8.226318,24,Female
4,2,50,NoFeedback,True,0,3.622253,7.930298,2.722351,0.02938515,0.01298096,0.007174505,0.6021729,True,1,False,7.906921,24,Female
4,3,51,NoFeedback,True,0,3.555542,6.862976,1.704102,0.002834884,0.002834884,0.04119678,0.5387573,True,1,False,6.839355,24,Female
4,4,52,NoFeedback,True,1,0.0222168,6.708923,1.662048,0.01507717,0.01507717,0.02969621,-2.991821,True,1,False,6.684021,24,Female
4,5,53,NoFeedback,False,0,3.744446,7.907532,2.776611,0.02029405,0.01175183,0.01092184,0.7340698,True,1,False,7.884033,24,Female
4,6,54,NoFeedback,False,0,3.799988,14.34918,9.123657,0.02890217,0.01501379,0.02346467,0.7846069,True,1,False,14.32568,24,Female
4,7,55,NoFeedback,True,0,3.57782,7.008545,1.96344,0.01165558,0.008545299,0.002842289,0.5654907,True,1,False,6.984314,24,Female
4,8,56,NoFeedback,False,0,3.588867,7.597534,2.566101,0.02965673,0.02201756,0.01198155,0.5684814,True,1,False,7.572998,24,Female
4,9,57,NoFeedback,False,0,3.544434,6.717712,1.747803,0.0113623,0.008148241,0.002458254,0.5258789,True,1,False,6.692871,24,Female
4,10,58,NoFeedback,True,0,3.633301,7.064575,2.062378,0.02797514,0.01521327,0.006542502,0.6191406,True,1,False,7.039673,24,Female
4,11,59,NoFeedback,False,0,3.555664,7.152588,2.164307,0.01340262,0.01142892,0.005717977,0.5446777,True,1,False,7.128418,24,Female
5,0,60,Visual,False,0,3.633301,6.885742,1.838379,0.01555389,0.007955421,0.006304303,0.6187744,True,1,False,6.861816,24,Female
5,1,61,Visual,False,0,3.699951,6.985962,1.895508,0.01117486,0.007785453,0.0036159,0.6877441,True,1,False,6.962402,24,Female
5,2,62,Visual,True,0,3.599976,12.56189,7.500122,0.01330425,0.0105187,0.03669314,0.5821533,True,1,False,12.53687,24,Female
5,3,63,Visual,False,0,3.655518,8.151367,3.095093,0.02052411,0.01572425,0.003165835,0.6408691,True,1,False,8.127197,24,Female
5,4,64,Visual,True,0,3.533325,12.21704,7.25415,0.01849232,0.01629407,0.01625266,0.5136719,True,1,False,12.19177,24,Female
5,5,65,Visual,True,0,3.622192,7.852539,2.848145,0.01019704,0.006948511,0.006209053,0.605835,True,1,False,7.828613,24,Female
5,6,66,Visual,True,0,3.533325,7.474243,2.528198,0.007090722,0.006391626,0.00866781,0.5203857,True,1,False,7.450439,24,Female
5,7,67,Visual,True,0,3.544434,11.08472,6.065796,0.01206201,0.01105607,0.006768359,0.5251465,True,1,False,11.06055,24,Female
