Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
3,1,37,Visual,False,0,3.5,7.863342,2.861511,0.006968034,0.005788086,0.006832426,0.4880371,True,1,False,7.838257,26,Female
3,2,38,Visual,False,0,3.577759,7.30719,2.220886,0.00842678,0.006428123,0.005129561,0.5576782,True,1,False,7.283203,26,Female
3,3,39,Visual,True,0,3.5,7.452148,2.458496,0.008255055,0.005390842,0.00543352,0.4827881,True,1,False,7.428223,26,Female
3,4,40,Visual,True,0,3.555603,7.84137,2.7948,0.006817961,0.005681276,0.00845664,0.5431519,True,1,False,7.81781,26,Female
3,5,41,Visual,False,0,3.64447,8.107544,2.897888,0.007917204,0.005344035,0.006271563,0.6351318,True,1,False,8.083679,26,Female
3,6,42,Visual,False,0,3.900024,8.117432,2.76709,0.007438196,0.00564097,0.007141424,0.882019,True,1,False,8.093201,26,Female
3,7,43,Visual,True,0,3.644409,8.21936,3.039063,0.005755122,0.004991233,0.007489982,0.630188,True,1,False,8.194397,26,Female
3,8,44,Visual,True,0,3.666687,8.161987,3.031006,0.007494091,0.005349477,0.007170628,0.6566162,True,1,False,8.139404,26,Female
3,9,45,Visual,True,0,3.633301,7.596924,2.446899,0.006534921,0.005532567,0.006112894,0.6153564,True,1,False,7.572876,26,Female
3,10,46,Visual,False,0,3.744446,8.885437,3.650879,0.008377401,0.006036676,0.00682961,0.7311401,True,1,False,8.861267,26,Female
3,11,47,Visual,False,0,3.699951,8.928406,3.641418,0.008344586,0.005613487,0.007848911,0.6893921,True,1,False,8.903198,26,Female
4,0,48,Electrotactile,False,0,3.57782,6.373718,1.378418,0.009192425,0.007942647,0.01025979,0.5581055,True,1,False,6.350952,26,Female
4,1,49,Electrotactile,False,0,3.533325,8.78479,3.802917,0.01345883,0.01221613,0.004503553,0.5181885,True,1,False,8.760742,26,Female
4,2,50,Electrotactile,False,0,3.57782,6.99585,1.951599,0.005972183,0.005527553,0.007926264,0.5657349,True,1,False,6.972412,26,Female
4,3,51,Electrotactile,True,0,3.477783,8.641968,3.677551,0.007172188,0.005615179,0.007734827,0.4586792,True,1,False,8.618347,26,Female
4,4,52,Electrotactile,False,0,3.522278,7.363342,2.347595,0.005750332,0.004343992,0.0108797,0.5059204,True,1,False,7.338684,26,Female
4,5,53,Electrotactile,True,0,3.599976,7.918335,2.817017,0.008245441,0.006415187,0.00567114,0.5876465,True,1,False,7.894592,26,Female
4,6,54,Electrotactile,False,0,3.5,7.574219,2.577698,0.01008481,0.00813511,0.007584354,0.4780884,True,1,False,7.550964,26,Female
4,7,55,Electrotactile,True,0,3.577759,8.129761,3.036804,0.008570584,0.006472109,0.007803818,0.5611572,True,1,False,8.10675,26,Female
4,8,56,Electrotactile,True,0,3.533325,7.729553,2.661316,0.007241997,0.005452722,0.006550566,0.520874,True,1,False,7.705933,26,Female
4,9,57,Electrotactile,True,0,3.611084,8.629272,3.499268,0.006472892,0.005430553,0.007084301,0.5903931,True,1,False,8.605591,26,Female
4,10,58,Electrotactile,True,0,3.655579,7.541077,2.38031,0.005729096,0.005111943,0.008864424,0.638916,True,1,False,7.517639,26,Female
4,11,59,Electrotactile,False,0,3.511108,7.996948,3.006592,0.006394181,0.0056144,0.01094238,0.4973755,True,1,False,7.973083,26,Female
5,0,60,Both,False,0,3.522217,7.897217,2.858459,0.008023544,0.006962299,0.00939444,0.5054932,True,1,False,7.873657,26,Female
5,1,61,Both,False,0,3.677795,8.085022,2.950562,0.008406352,0.006575362,0.008269283,0.6655273,True,1,False,8.061707,26,Female
5,2,62,Both,True,0,3.600037,8.228577,3.143738,0.007143201,0.004834936,0.009721238,0.5794067,True,1,False,8.204651,26,Female
5,3,63,Both,True,0,3.600037,7.176208,2.148315,0.00490886,0.003574665,0.009626276,0.5845947,True,1,False,7.151855,26,Female
5,4,64,Both,False,0,3.64447,7.851135,2.739319,0.006233996,0.005128286,0.007483646,0.6307373,True,1,False,7.827576,26,Female
5,5,65,Both,False,0,3.522217,7.762878,2.755615,0.005807646,0.005065989,0.009709865,0.512207,True,1,False,7.738403,26,Female
5,6,66,Both,True,0,3.611084,8.297241,3.224792,0.007064894,0.004982996,0.008028757,0.5933838,True,1,False,8.273926,26,Female
5,7,67,Both,True,0,3.588867,8.285583,3.261414,0.006447646,0.005193685,0.01026915,0.5752563,True,1,False,8.26239,26,Female
5,8,68,Both,False,0,3.56665,7.740723,2.731323,0.006072485,0.003242275,0.009524427,0.5563965,True,1,False,7.715454,26,Female
5,9,69,Both,False,0,3.644531,7.829224,2.735718,0.008357963,0.004762204,0.008891251,0.6265869,True,1,False,7.804688,26,Female
5,10,70,Both,True,0,3.611206,7.385742,2.393677,0.00462313,0.003202265,0.009658275,0.59729,True,1,False,7.362305,26,Female
5,11,71,Both,True,0,3.622192,7.407593,2.330933,0.006325538,0.004748453,0.01054081,0.6130371,True,1,False,7.383789,26,Female
6,0,72,NoFeedback,True,0,3.544434,9.651245,4.727783,0.01935214,0.01229227,0.006672848,0.5313721,True,1,False,9.628174,26,Female
6,1,73,NoFeedback,False,0,3.611084,6.463623,1.509644,0.02291716,0.01782553,0.008733455,0.6005859,True,1,False,6.440186,26,Female
6,2,74,NoFeedback,False,0,3.56665,6.719482,1.757446,0.02436388,0.02024972,0.01095949,0.5482178,True,1,False,6.695435,26,Female
6,3,75,NoFeedback,True,0,3.5,6.586304,1.693481,0.02233591,0.01526205,0.005372451,0.4848633,True,1,False,6.562744,26,Female
6,4,76,NoFeedback,False,0,3.577759,6.952393,1.951904,0.01557826,0.01057426,0.003277225,0.5655518,True,1,False,6.928223,26,Female
6,5,77,NoFeedback,False,0,3.555542,9.406128,4.310791,0.01140177,0.007831275,0.00769258,0.5371094,True,1,False,9.382813,26,Female
6,6,78,NoFeedback,False,0,3.588867,11.50635,6.336792,0.007350348,0.003614759,0.01060995,0.5750732,True,1,False,11.48291,26,Female
6,7,79,NoFeedback,True,0,3.588867,8.307495,3.164063,0.005636815,0.003359514,0.008507844,0.5782471,True,1,False,8.284302,26,Female
6,8,80,NoFeedback,True,0,3.611084,7.885254,2.791382,0.01070625,0.006722923,0.005381697,0.5931396,True,1,False,7.861206,26,Female
6,9,81,NoFeedback,False,0,3.599976,7.973755,2.905151,0.0113674,0.008367901,0.004078707,0.5872803,True,1,False,7.950684,26,Female
6,10,82,NoFeedback,True,0,3.633423,7.140991,2.008179,0.004583833,0.002775813,0.01065718,0.6225586,True,1,False,7.117676,26,Female
6,11,83,NoFeedback,True,0,3.511108,7.80835,2.767578,0.005232901,0.002723354,0.008515611,0.4934082,True,1,False,7.78479,26,Female
7,0,84,Visual,True,0,3.633301,8.06311,2.975708,0.007885119,0.004862143,0.006897589,0.6226807,True,1,False,8.039673,26,Female
7,1,85,Visual,False,0,3.699951,7.874878,2.689697,0.008334989,0.004896207,0.007138468,0.6826172,True,1,False,7.850586,26,Female
7,2,86,Visual,False,0,3.633301,8.106689,2.937622,0.006292064,0.003361332,0.00885804,0.6186523,True,1,False,8.083008,26,Female
7,3,87,Visual,True,0,3.71106,8.040771,2.841919,0.007195062,0.006121913,0.008745799,0.7003174,True,1,False,8.017456,26,Female
7,4,88,Visual,False,0,3.599976,7.718994,2.612549,0.005342709,0.003908863,0.01086088,0.581543,True,1,False,7.69519,26,Female
7,5,89,Visual,True,0,3.577759,6.918213,1.938477,0.003258316,0.002371787,0.01021682,0.5628662,True,1,False,6.894287,26,Female
7,6,90,Visual,False,0,3.677734,8.140625,3.030273,0.005456834,0.003500381,0.008381336,0.6660156,True,1,False,8.116943,26,Female
7,7,91,Visual,True,0,3.622192,7.941528,2.901367,0.004641642,0.002939689,0.01279699,0.6032715,True,1,False,7.918823,26,Female
7,8,92,Visual,True,0,3.655518,8.536377,3.415771,0.004681207,0.00321415,0.00906563,0.6414795,True,1,False,8.512207,26,Female
7,9,93,Visual,False,0,3.666626,8.568115,3.395874,0.006318807,0.004176568,0.00839452,0.6571045,True,1,False,8.543823,26,Female
7,10,94,Visual,False,0,3.644531,8.717651,3.622925,0.007552839,0.00449145,0.008028023,0.6253662,True,1,False,8.692993,26,Female
7,11,95,Visual,True,0,3.800049,8.207275,2.971191,0.00816532,0.004806964,0.007522888,0.7862549,True,1,False,8.183594,26,Female
