Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
0,0,0,Both,False,0,4.288879,15.93326,8.111511,0.01173397,0.007327201,0.008030811,1.272369,True,1,False,15.91064,31,Male
0,1,1,Both,True,0,4.233337,16.38144,8.918121,0.009498466,0.007030079,0.008408785,1.213074,True,1,False,16.35748,31,Male
0,2,2,Both,False,0,4.255554,16.50363,7.837036,0.005856717,0.004906184,0.01086636,1.242188,True,1,False,16.47952,31,Male
0,3,3,Both,False,0,3.955566,25.69958,18.1001,0.006275286,0.005410225,0.02405486,0.9431152,True,1,False,25.67581,31,Male
0,4,4,Both,True,0,4.388885,31.01978,23.73386,0.008595461,0.006428761,0.01357934,1.368317,True,1,False,30.99576,31,Male
0,5,5,Both,False,0,5.06665,16.09235,8.659088,0.01088391,0.006736823,0.00855748,2.053314,True,1,False,16.06882,31,Male
0,6,6,Both,True,0,4.711121,18.55832,10.38852,0.00487701,0.004629313,0.01044989,1.705841,True,1,False,18.53418,31,Male
0,7,7,Both,True,0,5.133331,22.21225,14.1524,0.007815245,0.007205785,0.01137636,2.115784,True,1,False,22.18771,31,Male
0,8,8,Both,True,0,4.399963,21.55707,13.02902,0.01233001,0.01124657,0.008298415,1.380798,True,1,False,21.53305,31,Male
0,9,9,Both,False,0,4.400024,18.29163,10.85016,0.006340186,0.005383176,0.008305405,1.389648,True,1,False,18.26801,31,Male
0,10,10,Both,False,0,4.355591,15.03766,7.280518,0.02210405,0.01771431,0.005260382,1.340576,True,1,False,15.01367,31,Male
0,11,11,Both,True,0,4.544434,20.22412,11.34277,0.005040145,0.004186436,0.01152429,1.527039,True,1,False,20.20001,31,Male
1,0,12,Electrotactile,True,0,4.122192,14.04883,5.589478,0.01436582,0.01235313,0.007728704,1.104919,True,1,False,14.02557,31,Male
1,1,13,Electrotactile,True,0,4.855591,18.60272,9.929321,0.01594498,0.01315284,0.008303992,1.835266,True,1,False,18.57898,31,Male
1,2,14,Electrotactile,True,0,4.155518,16.53711,9.437866,0.008562728,0.007677152,0.007967506,1.143311,True,1,False,16.51337,31,Male
1,3,15,Electrotactile,False,0,4.877808,17.7254,9.334229,0.01336665,0.01076535,0.006307709,1.861877,True,1,False,17.70099,31,Male
1,4,16,Electrotactile,False,0,4.588867,17.25897,8.753113,0.008120114,0.007209994,0.009640296,1.569519,True,1,False,17.23511,31,Male
1,5,17,Electrotactile,True,0,4.166687,16.12598,8.260864,0.01106363,0.009136685,0.008916053,1.155029,True,1,False,16.1026,31,Male
1,6,18,Electrotactile,False,0,3.588867,15.4043,9.123718,0.0121416,0.009613921,0.007979789,0.5733032,True,1,False,15.38074,31,Male
1,7,19,Electrotactile,True,0,4.077759,11.38391,4.919617,0.01042529,0.009270782,0.007370114,1.06781,True,1,False,11.36035,31,Male
1,8,20,Electrotactile,False,0,3.744446,8.42926,2.935974,0.01401258,0.0116632,0.004155302,0.7275391,True,1,False,8.405579,31,Male
1,9,21,Electrotactile,False,0,3.633301,7.696411,2.616882,0.01156315,0.009619693,0.00457303,0.6201172,True,1,False,7.672913,31,Male
1,10,22,Electrotactile,True,0,3.622253,9.751221,4.743164,0.01063593,0.009722389,0.006585835,0.602356,True,1,False,9.727478,31,Male
1,11,23,Electrotactile,False,0,4.111084,8.029968,2.125244,0.01349411,0.01076159,0.003584943,1.094238,True,1,False,8.006836,31,Male
2,0,24,Visual,True,0,3.777771,7.818909,2.399963,0.008925128,0.004658968,0.007160539,0.7581177,True,1,False,7.795288,31,Male
2,1,25,Visual,False,0,3.511108,7.907532,2.859131,0.007542735,0.006259028,0.007795088,0.4951172,True,1,False,7.884094,31,Male
2,2,26,Visual,False,0,3.588928,7.7854,2.773804,0.008088579,0.007374893,0.007975575,0.5765381,True,1,False,7.761597,31,Male
2,3,27,Visual,False,0,3.588928,6.685913,1.688599,0.008347044,0.00729134,0.009944532,0.5684204,True,1,False,6.662354,31,Male
2,4,28,Visual,False,0,3.5,9.284607,4.346741,0.007445206,0.006729855,0.00969875,0.4838257,True,1,False,9.260803,31,Male
2,5,29,Visual,False,0,3.633362,8.107422,3.039795,0.01444235,0.01337416,0.005648261,0.6205444,True,1,False,8.083618,31,Male
2,6,30,Visual,True,0,3.64447,9.340698,4.132629,0.006529867,0.005545265,0.007901743,0.6248779,True,1,False,9.316956,31,Male
2,7,31,Visual,True,0,3.733337,10.26166,4.903625,0.009799516,0.007998975,0.007641566,0.7182007,True,1,False,10.23853,31,Male
2,8,32,Visual,True,0,4.377747,11.01733,5.163818,0.01091423,0.008686048,0.006262338,1.367554,True,1,False,10.99292,31,Male
2,9,33,Visual,True,0,3.666687,10.16217,5.16864,0.01117184,0.01062141,0.004499686,0.6501465,True,1,False,10.13837,31,Male
2,10,34,Visual,True,1,2,6.674683,1.173401,0.008771244,0.007400235,0.01842242,-1.013733,True,1,False,6.650696,31,Male
2,11,35,Visual,False,0,4.588928,25.31079,18.95398,0.0120442,0.0115698,0.01835625,1.575012,True,1,False,25.28735,31,Male
3,0,36,NoFeedback,True,1,2.444458,12.67151,6.580994,0.02685501,0.01672951,0.01307082,-0.5708618,True,1,False,12.64862,31,Male
3,1,37,NoFeedback,False,1,1.177795,15.90344,10.15332,0.01090262,0.01051726,0.02292399,-1.840759,True,1,False,15.88019,31,Male
3,2,38,NoFeedback,False,0,4.555542,10.61749,4.082703,0.04932453,0.02972285,0.01804783,1.540955,True,1,False,10.59375,31,Male
3,3,39,NoFeedback,False,0,3.711121,7.352234,2.087463,0.006939359,0.004384355,0.007816286,0.7010498,True,1,False,7.328125,31,Male
3,4,40,NoFeedback,False,0,3.833374,9.040466,3.79071,0.01148252,0.009788397,0.005756837,0.8162842,True,1,False,9.016724,31,Male
3,5,41,NoFeedback,True,0,3.900024,14.29346,8.739258,0.01322845,0.009151354,0.007793434,0.8890991,True,1,False,14.26965,31,Male
3,6,42,NoFeedback,True,0,3.711121,7.096863,1.890259,0.01478255,0.01141799,0.002545781,0.6925659,True,1,False,7.073059,31,Male
3,7,43,NoFeedback,True,0,3.677795,21.75714,16.58228,0.02217607,0.01828169,0.01322051,0.6578369,True,1,False,21.73297,31,Male
3,8,44,NoFeedback,True,0,4,10.39496,4.625549,0.01576174,0.01015293,0.006663392,0.9844971,True,1,False,10.37164,31,Male
3,9,45,NoFeedback,False,0,3.766663,9.473022,4.252258,0.01235406,0.006225451,0.007162285,0.7558594,True,1,False,9.449036,31,Male
3,10,46,NoFeedback,True,0,3.711121,9.063354,4.012329,0.01007927,0.00692026,0.00980015,0.6930542,True,1,False,9.039124,31,Male
3,11,47,NoFeedback,False,0,3.655579,7.663147,2.62738,0.01192409,0.008072522,0.007913927,0.6411743,True,1,False,7.639404,31,Male
4,0,48,Both,False,0,3.811157,10.5835,4.865845,0.00694854,0.004940501,0.007674757,0.7919922,True,1,False,10.56116,31,Male
4,1,49,Both,False,0,3.611084,9.095581,4.015137,0.0104225,0.008621315,0.0180462,0.5961914,True,1,False,9.072388,31,Male
4,2,50,Both,True,0,3.744507,11.88391,6.65271,0.0118787,0.01153367,0.01276433,0.7236328,True,1,False,11.85999,31,Male
4,3,51,Both,True,0,3.900024,9.67334,3.902588,0.001473755,0.001441781,0.01356866,0.8833008,True,1,False,9.649292,31,Male
4,4,52,Both,False,0,3.666626,8.062988,3.051392,0.009084269,0.007679699,0.003787635,0.6540527,True,1,False,8.039551,31,Male
4,5,53,Both,False,0,3.611084,7.751953,2.888184,0.01224446,0.01168066,0.009856137,0.5906982,True,1,False,7.728516,31,Male
4,6,54,Both,True,0,3.622192,7.963013,2.602783,0.01067157,0.009373336,0.009756655,0.6053467,True,1,False,7.939575,31,Male
4,7,55,Both,False,0,3.599976,8.818115,3.617554,0.01029073,0.009524752,0.01474964,0.5872803,True,1,False,8.794434,31,Male
4,8,56,Both,False,0,3.633423,8.785034,3.521606,0.01279881,0.009385129,0.00929803,0.6135254,True,1,False,8.761475,31,Male
