ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender,Precision
2,0,0,0,Visual,TRUE,0,4.255554,11.457,5.687561,0.0608128,0.04467648,0.03170528,1.235321,TRUE,1,FALSE,11.43228,25,Male,0.009005359
2,0,1,1,Visual,FALSE,0,3.688904,14.18314,8.880615,0.01511996,0.0114543,0.00358299,0.6751709,TRUE,1,FALSE,14.15744,25,Male,0.001289663
2,0,2,2,Visual,TRUE,0,3.655548,8.473907,3.26474,0.01353106,0.009523799,0.003129401,0.6340332,TRUE,1,FALSE,8.446869,25,Male,0.001498021
2,0,3,3,Visual,FALSE,0,4.244446,9.051666,3.324615,0.01653337,0.01434361,0.005742453,1.2276,TRUE,1,FALSE,9.025757,25,Male,0.001636133
2,0,4,4,Visual,TRUE,0,4.35556,8.852478,3.061615,0.02247019,0.01680068,0.007879826,1.341919,TRUE,1,FALSE,8.825806,25,Male,0.002743547
2,0,5,5,Visual,FALSE,0,4.088898,8.094879,2.587402,0.02483743,0.02161583,0.01239168,1.06778,TRUE,1,FALSE,8.071136,25,Male,0.002705771
2,0,6,6,Visual,TRUE,0,3.744446,7.574707,2.390717,0.0142607,0.01196343,0.003464458,0.7276001,TRUE,1,FALSE,7.547821,25,Male,0.001151924
2,0,7,7,Visual,FALSE,0,3.711121,7.708679,2.549744,0.009181318,0.006776262,0.003792484,0.6973877,TRUE,1,FALSE,7.68158,25,Male,0.001147902
2,0,8,8,Visual,TRUE,0,3.688873,7.441223,2.242889,0.01571181,0.01418618,0.007263402,0.677948,TRUE,1,FALSE,7.415283,25,Male,0.000703365
2,0,9,9,Visual,TRUE,0,3.666656,7.674011,2.567596,0.01497747,0.01226061,0.003158488,0.6478882,TRUE,1,FALSE,7.647278,25,Male,0.00118812
2,0,10,10,Visual,FALSE,0,3.655579,7.196991,2.08255,0.01560462,0.01270333,0.006674072,0.6396179,TRUE,1,FALSE,7.170837,25,Male,0.001166011
