ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender,Precision
24,0,0,0,Both,TRUE,0,3.666656,6.227325,0.9335938,0.007744874,0.005048771,0.007040485,0.6467285,TRUE,1,FALSE,6.181519,24,Male,0.001621672
24,0,1,1,Both,FALSE,0,3.600006,7.429688,2.46933,0.007899367,0.006455416,0.005105568,0.5835266,TRUE,1,FALSE,7.402496,24,Male,0.0005781
24,0,2,2,Both,TRUE,0,4.088867,7.762817,2.383972,0.008650391,0.005400774,0.006375581,1.075531,TRUE,1,FALSE,7.737244,24,Male,0.000949618
24,0,3,3,Both,FALSE,0,4.011108,7.530243,2.177368,0.009618122,0.005597452,0.006165188,0.9891357,TRUE,1,FALSE,7.504944,24,Male,0.00117876
24,0,4,4,Both,FALSE,0,3.799988,7.00705,1.880524,0.006780133,0.004641728,0.007700233,0.7828979,TRUE,1,FALSE,6.981171,24,Male,0.000756064
24,0,5,5,Both,FALSE,0,3.844452,7.286377,2.027435,0.01010341,0.00680972,0.005455412,0.8295898,TRUE,1,FALSE,7.261993,24,Male,0.001259704
24,0,6,6,Both,TRUE,0,3.833313,7.274567,2.175537,0.008691495,0.005895922,0.006742545,0.8220825,TRUE,1,FALSE,7.249695,24,Male,0.000935921
24,0,7,7,Both,FALSE,0,3.56665,6.19693,1.29071,0.006529433,0.004910683,0.005889578,0.5474548,TRUE,1,FALSE,6.170624,24,Male,0.000484265
24,0,8,8,Both,TRUE,0,3.833344,7.32962,2.160004,0.006932872,0.005420685,0.006527535,0.8172607,TRUE,1,FALSE,7.30423,24,Male,0.000619311
24,0,9,9,Both,FALSE,0,3.622223,6.120728,1.119812,0.00589873,0.004748387,0.007263549,0.6090088,TRUE,1,FALSE,6.095581,24,Male,0.000721902
24,0,10,10,Both,TRUE,0,3.777771,7.207886,2.088013,0.010023,0.007919626,0.006614847,0.7679443,TRUE,1,FALSE,7.1828,24,Male,0.000957971
24,0,11,11,Both,TRUE,0,3.677734,6.450623,1.324219,0.007734358,0.006195899,0.006673291,0.6599731,TRUE,1,FALSE,6.390686,24,Male,0.000481525
24,1,0,12,Electrotactile,FALSE,0,3.688904,6.907776,1.920593,0.009887094,0.007067387,0.007272257,0.6782227,TRUE,1,FALSE,6.884094,24,Male,0.000982011
24,1,1,13,Electrotactile,FALSE,0,3.866699,7.629944,2.378967,0.01548568,0.01031176,0.006427473,0.8481445,TRUE,1,FALSE,7.604614,24,Male,0.002709436
24,1,2,14,Electrotactile,TRUE,0,3.722229,7.374207,2.193542,0.0145519,0.01142813,0.004591886,0.7075806,TRUE,1,FALSE,7.348877,24,Male,0.001075914
24,1,3,15,Electrotactile,TRUE,0,3.811096,7.197083,1.99762,0.01249201,0.006683247,0.004602046,0.7997437,TRUE,1,FALSE,7.172791,24,Male,0.001541174
24,1,4,16,Electrotactile,FALSE,0,3.777771,6.863403,1.634644,0.009597738,0.005700207,0.005660744,0.7579346,TRUE,1,FALSE,6.839539,24,Male,0.001706369
24,1,5,17,Electrotactile,FALSE,0,3.866699,7.66333,2.324829,0.009155584,0.006033393,0.005858055,0.8505249,TRUE,1,FALSE,7.63678,24,Male,0.001095638
24,1,6,18,Electrotactile,TRUE,0,3.633362,7.207397,2.206238,0.008528044,0.005112472,0.00641521,0.6206055,TRUE,1,FALSE,7.181641,24,Male,0.001082692
24,1,7,19,Electrotactile,TRUE,0,3.655579,6.940979,1.932007,0.009411424,0.006463154,0.004498048,0.6461792,TRUE,1,FALSE,6.914856,24,Male,0.000669891
24,1,8,20,Electrotactile,TRUE,0,3.744446,7.375427,2.080322,0.01191388,0.01000773,0.003930141,0.7269287,TRUE,1,FALSE,7.326782,24,Male,0.000844064
