ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender,Precision
7,0,0,0,Electrotactile,TRUE,0,4.033325,22.18716,16.66959,0.0201805,0.01361445,0.007098381,1.022827,TRUE,1,FALSE,22.14233,33,Male,0.004520087
7,0,1,1,Electrotactile,TRUE,0,3.655548,8.25174,3.223541,0.01993177,0.01451135,0.00750219,0.6378479,TRUE,1,FALSE,8.227722,33,Male,0.004579072
7,0,2,2,Electrotactile,TRUE,0,3.600006,8.174225,3.116547,0.01292823,0.009634949,0.003130883,0.5859985,TRUE,1,FALSE,8.149506,33,Male,0.000623517
7,0,3,3,Electrotactile,FALSE,0,3.56665,8.995911,4.020172,0.02906121,0.01825134,0.00902283,0.5567932,TRUE,1,FALSE,8.971588,33,Male,0.005782699
7,0,4,4,Electrotactile,TRUE,0,3.622223,7.863129,2.835358,0.01340711,0.01197379,0.003041442,0.6047363,TRUE,1,FALSE,7.839233,33,Male,0.000655235
7,0,5,5,Electrotactile,FALSE,0,3.600006,7.785553,2.73877,0.02212469,0.01984401,0.01071465,0.5859375,TRUE,1,FALSE,7.761414,33,Male,0.001243351
7,0,6,6,Electrotactile,FALSE,0,3.633331,7.796204,2.720245,0.02228026,0.01723791,0.007457218,0.6227112,TRUE,1,FALSE,7.772217,33,Male,0.002629939
7,0,7,7,Electrotactile,TRUE,0,3.611115,7.408112,2.434906,0.02449972,0.01815959,0.009422887,0.5927734,TRUE,1,FALSE,7.384216,33,Male,0.004013986
7,0,8,8,Electrotactile,FALSE,0,3.633331,7.829712,2.726898,0.02153893,0.01893709,0.009972851,0.6185913,TRUE,1,FALSE,7.805908,33,Male,0.001589779
7,0,9,9,Electrotactile,TRUE,0,3.633331,7.885468,2.919617,0.02968832,0.02114668,0.01144548,0.6222229,TRUE,1,FALSE,7.86142,33,Male,0.004754896
7,0,10,10,Electrotactile,FALSE,0,3.588898,9.451111,4.511017,0.03728683,0.03294712,0.01710085,0.5699463,TRUE,1,FALSE,9.427094,33,Male,0.002029959
7,0,11,11,Electrotactile,FALSE,0,3.577759,7.774384,2.849365,0.01798594,0.01402418,0.005670305,0.5632324,TRUE,1,FALSE,7.750275,33,Male,0.001694148
7,1,0,12,Both,TRUE,0,3.611115,6.763977,1.813049,0.02402584,0.02052595,0.01082185,0.592926,TRUE,1,FALSE,6.740479,33,Male,0.001464282
7,1,1,13,Both,FALSE,0,3.622223,6.652496,1.649567,0.01121711,0.01005437,0.002443887,0.6069946,TRUE,1,FALSE,6.629028,33,Male,0.000543667
7,1,2,14,Both,FALSE,0,3.600006,7.163452,2.207886,0.01574502,0.01315976,0.004525162,0.5878601,TRUE,1,FALSE,7.139832,33,Male,0.001365674
7,1,3,15,Both,FALSE,0,3.688873,8.562836,3.366699,0.00538303,0.004949667,0.007911997,0.6696472,TRUE,1,FALSE,8.538879,33,Male,0.000230746
