ID,Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
8,0,0,0,Both,TRUE,1,0.6777649,19.62149,5.426056,0.005971393,0.005787347,0.02699621,-2.337036,TRUE,1,FALSE,19.59836,24,Male
8,0,1,1,Both,FALSE,0,4.311096,15.79272,9.933899,0.009867579,0.007999473,0.007722168,1.296051,TRUE,1,FALSE,15.76877,24,Male
8,0,2,2,Both,FALSE,0,3.611115,10.19559,4.830536,0.01015129,0.009723796,0.006276175,0.6007996,TRUE,1,FALSE,10.17224,24,Male
8,0,3,3,Both,FALSE,0,3.64444,17.99179,12.72421,0.00635093,0.005281311,0.009413946,0.6312256,TRUE,1,FALSE,17.96765,24,Male
8,0,4,4,Both,FALSE,0,3.722229,8.418335,2.965698,0.009920676,0.007606277,0.0060363,0.701355,TRUE,1,FALSE,8.394928,24,Male
8,0,5,5,Both,TRUE,0,3.611115,7.863159,2.736084,0.01227652,0.008867718,0.005395398,0.5943604,TRUE,1,FALSE,7.839661,24,Male
8,0,6,6,Both,TRUE,0,3.722229,7.841125,2.539612,0.01440263,0.009444673,0.004777517,0.7086792,TRUE,1,FALSE,7.817078,24,Male
8,0,7,7,Both,TRUE,1,3.777771,9.484955,3.965363,0.0204922,0.0192055,0.007388702,0.7906799,TRUE,1,FALSE,9.45993,24,Male
8,0,8,8,Both,TRUE,0,3.688904,9.695129,3.869659,0.007297752,0.006208832,0.009150417,0.672699,TRUE,1,FALSE,9.671631,24,Male
8,0,9,9,Both,TRUE,0,3.555542,8.15213,3.118927,0.007523858,0.006535389,0.009193582,0.5432434,TRUE,1,FALSE,8.127533,24,Male
8,0,10,10,Both,FALSE,1,2.133331,9.839966,4.221832,0.01040857,0.009493519,0.0108426,-0.8857117,TRUE,1,FALSE,9.815735,24,Male
8,0,11,11,Both,FALSE,0,3.544464,7.962952,2.826447,0.01232417,0.01063121,0.008237238,0.5291748,TRUE,1,FALSE,7.937683,24,Male
8,1,0,12,Electrotactile,FALSE,0,3.600006,7.930389,2.767853,0.01717036,0.01126941,0.01772321,0.5817566,TRUE,1,FALSE,7.90683,24,Male
8,1,1,13,Electrotactile,TRUE,0,3.611115,7.985077,2.827148,0.01147484,0.009282979,0.003349324,0.5960999,TRUE,1,FALSE,7.961182,24,Male
8,1,2,14,Electrotactile,TRUE,0,3.577759,8.496185,3.219482,0.01643641,0.01262858,0.004679698,0.5666504,TRUE,1,FALSE,8.471741,24,Male
8,1,3,15,Electrotactile,FALSE,0,3.544434,9.062714,3.890167,0.0164644,0.01367661,0.006353003,0.5264893,TRUE,1,FALSE,9.038239,24,Male
8,1,4,16,Electrotactile,TRUE,0,3.588867,8.162903,3.016205,0.01344915,0.01038985,0.004494838,0.574646,TRUE,1,FALSE,8.138397,24,Male
8,1,5,17,Electrotactile,FALSE,0,3.64447,7.107788,1.953186,0.02218068,0.01286436,0.00478674,0.6333618,TRUE,1,FALSE,7.083313,24,Male
8,1,6,18,Electrotactile,TRUE,0,3.711121,7.707581,2.534302,0.01738806,0.01430705,0.006554833,0.6922607,TRUE,1,FALSE,7.683655,24,Male
8,1,7,19,Electrotactile,TRUE,0,3.600037,10.04028,4.882202,0.01718748,0.01245826,0.007833004,0.5857544,TRUE,1,FALSE,10.01556,24,Male
8,1,8,20,Electrotactile,FALSE,0,3.644409,7.940857,2.697754,0.01473677,0.01017705,0.004215541,0.633667,TRUE,1,FALSE,7.916504,24,Male
8,1,9,21,Electrotactile,FALSE,0,3.688904,7.651917,2.456848,0.01710346,0.01239859,0.004859659,0.6704712,TRUE,1,FALSE,7.628113,24,Male
8,1,10,22,Electrotactile,TRUE,0,3.555542,8.085266,3.026428,0.01197301,0.008444263,0.004417498,0.5403442,TRUE,1,FALSE,8.061401,24,Male
8,1,11,23,Electrotactile,FALSE,0,3.666687,7.896179,2.686218,0.02363834,0.0152117,0.006150715,0.6553955,TRUE,1,FALSE,7.872559,24,Male
8,2,0,24,Visual,TRUE,0,3.588867,9.984985,4.849548,0.0125723,0.01091106,0.005874894,0.5753784,TRUE,1,FALSE,9.961548,24,Male
8,2,1,25,Visual,FALSE,0,3.64447,8.418579,3.30957,0.01131403,0.007731414,0.005588553,0.6237183,TRUE,1,FALSE,8.393982,24,Male
8,2,2,26,Visual,FALSE,0,3.644409,8.329407,3.235779,0.01248322,0.009881712,0.00373206,0.6275635,TRUE,1,FALSE,8.305969,24,Male
8,2,3,27,Visual,TRUE,0,3.577759,8.018677,2.961792,0.01020868,0.007511513,0.004714007,0.5635376,TRUE,1,FALSE,7.994934,24,Male
8,2,4,28,Visual,FALSE,0,3.56665,8.751526,3.576416,0.01178717,0.01052439,0.006412093,0.5461426,TRUE,1,FALSE,8.727417,24,Male
8,2,5,29,Visual,FALSE,0,3.666687,8.273926,2.991455,0.01511314,0.01242522,0.004821745,0.6499634,TRUE,1,FALSE,8.250183,24,Male
8,2,6,30,Visual,FALSE,0,3.688904,8.174072,2.861633,0.01404357,0.009757151,0.003586398,0.6755981,TRUE,1,FALSE,8.150452,24,Male
8,2,7,31,Visual,TRUE,0,3.85553,7.541077,2.154541,0.01052592,0.006461226,0.005536507,0.84552,TRUE,1,FALSE,7.516968,24,Male
8,2,8,32,Visual,TRUE,0,3.655579,7.88562,2.702332,0.01084296,0.009467925,0.004454068,0.6381836,TRUE,1,FALSE,7.861084,24,Male
8,2,9,33,Visual,TRUE,1,2.811096,7.430054,2.316895,0.0116618,0.00802289,0.009974101,0.5305786,TRUE,1,FALSE,7.406433,24,Male
8,2,10,34,Visual,TRUE,0,3.533325,7.6297,2.597656,0.01051685,0.006716229,0.004785398,0.5227661,TRUE,1,FALSE,7.606201,24,Male
