Block,TrialInBlock,Trial,InterpenetrationFeedback,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Age,Gender
0,0,0,Electrotactile,False,0,4,8.847168,3.176453,0.02169123,0.01920393,0.01033854,0.9902649,True,1,False,8.825836,24,Female
0,1,1,Electrotactile,True,0,4.055573,9.229095,3.712494,0.02771917,0.01803693,0.009387038,1.038818,True,1,False,9.205048,24,Female
0,2,2,Electrotactile,False,0,3.811127,7.90744,2.639374,0.03208175,0.02592154,0.0165409,0.7980042,True,1,False,7.883636,24,Female
0,3,3,Electrotactile,True,0,3.744446,7.90802,2.824463,0.02367804,0.02083248,0.01196013,0.7238159,True,1,False,7.88327,24,Female
0,4,4,Electrotactile,True,0,3.777771,7.718384,2.558014,0.02920894,0.02277359,0.01374587,0.7608337,True,1,False,7.69281,24,Female
0,5,5,Electrotactile,True,0,3.711121,7.552246,2.55072,0.02406416,0.02070855,0.01180551,0.6976929,True,1,False,7.528748,24,Female
0,6,6,Electrotactile,False,0,3.800018,7.829742,2.665161,0.02987825,0.02258855,0.01344266,0.7897949,True,1,False,7.806213,24,Female
0,7,7,Electrotactile,True,0,3.722229,7.474457,2.424194,0.0274767,0.02306306,0.01375616,0.7044067,True,1,False,7.44986,24,Female
0,8,8,Electrotactile,False,0,3.700012,7.174469,2.094208,0.02514152,0.02047307,0.01170739,0.6853943,True,1,False,7.150299,24,Female
0,9,9,Electrotactile,True,0,3.688873,7.096863,2.109283,0.02616245,0.02081924,0.01206086,0.6775818,True,1,False,7.07309,24,Female
0,10,10,Electrotactile,False,0,3.577789,6.874878,1.967072,0.03037244,0.02505198,0.0158942,0.5584717,True,1,False,6.84967,24,Female
0,11,11,Electrotactile,False,0,3.666656,7.807312,2.759247,0.02495814,0.02115188,0.01216744,0.6507263,True,1,False,7.783417,24,Female
1,0,12,Both,False,0,4.055573,8.407898,3.022797,0.02504169,0.02022972,0.01120595,1.036652,True,1,False,8.384399,24,Female
1,1,13,Both,True,0,3.688904,7.351898,2.337555,0.01642652,0.01076595,0.004412357,0.6733704,True,1,False,7.328766,24,Female
1,2,14,Both,False,0,3.566681,7.274689,2.341156,0.0119308,0.00943383,0.002073408,0.5545654,True,1,False,7.25058,24,Female
1,3,15,Both,False,0,3.600006,6.830627,1.866547,0.0129422,0.008576141,0.002544917,0.5798035,True,1,False,6.806885,24,Female
1,4,16,Both,True,0,3.611115,6.940155,1.98053,0.01344366,0.01082641,0.002114774,0.5940247,True,1,False,6.917175,24,Female
1,5,17,Both,False,0,3.622223,7.586182,2.62793,0.01312414,0.009471012,0.003302874,0.6086731,True,1,False,7.56189,24,Female
1,6,18,Both,False,0,3.633331,7.074493,2.098511,0.01632479,0.01183402,0.003933626,0.6230164,True,1,False,7.050873,24,Female
1,7,19,Both,True,0,3.677765,7.441162,2.446045,0.01709099,0.01015259,0.004239309,0.6595459,True,1,False,7.417206,24,Female
1,8,20,Both,True,0,3.722229,6.952301,1.90506,0.009524013,0.008125206,0.002681162,0.7072144,True,1,False,6.928833,24,Female
1,9,21,Both,True,0,3.555573,7.152771,2.252289,0.01124527,0.008977202,0.003077663,0.5437317,True,1,False,7.128754,24,Female
1,10,22,Both,True,0,3.788879,7.207611,2.02243,0.01223778,0.006956952,0.00373766,0.7692871,True,1,False,7.169739,24,Female
1,11,23,Both,False,0,3.655548,7.485535,2.358856,0.009297272,0.006896502,0.002921983,0.6390991,True,1,False,7.461243,24,Female
2,0,24,NoFeedback,True,0,3.622223,7.530273,2.521729,0.01815054,0.01411917,0.005740565,0.6027222,True,1,False,7.506836,24,Female
2,1,25,NoFeedback,True,0,3.5,7.507904,2.614685,0.01486578,0.009991802,0.003051406,0.4838562,True,1,False,7.483978,24,Female
2,2,26,NoFeedback,False,0,3.588867,6.474548,1.584839,0.0195209,0.01679701,0.007729389,0.5755615,True,1,False,6.451111,24,Female
2,3,27,NoFeedback,False,0,3.577759,7.030212,2.076538,0.00951395,0.004550759,0.006028885,0.5678711,True,1,False,7.006287,24,Female
2,4,28,NoFeedback,False,0,3.56665,7.163635,2.246338,0.007565313,0.004975208,0.005231841,0.5488892,True,1,False,7.139587,24,Female
2,5,29,NoFeedback,False,0,3.56665,7.074402,2.193726,0.01576324,0.01190486,0.004500946,0.5518188,True,1,False,7.050659,24,Female
2,6,30,NoFeedback,False,0,3.588928,10.28448,5.363892,0.02580921,0.01709093,0.008687568,0.5788574,True,1,False,10.26068,24,Female
2,7,31,NoFeedback,True,0,3.577759,7.218811,2.324219,0.01940959,0.0148385,0.006524116,0.5599976,True,1,False,7.194641,24,Female
2,8,32,NoFeedback,True,0,3.555542,7.352173,2.516052,0.02583871,0.02009664,0.01104969,0.5409546,True,1,False,7.328369,24,Female
2,9,33,NoFeedback,True,0,3.555603,7.174805,2.297119,0.01890698,0.01470184,0.006159492,0.5443115,True,1,False,7.150818,24,Female
2,10,34,NoFeedback,False,0,3.64447,7.074707,2.067261,0.02720248,0.01617628,0.007691714,0.625,True,1,False,7.051025,24,Female
2,11,35,NoFeedback,True,0,3.588867,7.029785,2.092712,0.02750138,0.01934185,0.01030875,0.572937,True,1,False,7.006104,24,Female
3,0,36,Visual,False,0,3.555542,7.851624,2.878357,0.004429573,0.003828793,0.009614005,0.5361938,True,1,False,7.828918,24,Female
3,1,37,Visual,False,0,3.56665,7.130188,2.170471,0.009913194,0.006524384,0.005964054,0.5507202,True,1,False,7.105286,24,Female
3,2,38,Visual,True,0,3.533386,7.451965,2.529358,0.01168973,0.007930584,0.004268233,0.520752,True,1,False,7.428345,24,Female
3,3,39,Visual,False,0,3.611145,7.274719,2.210388,0.008376545,0.006545151,0.004439412,0.5906982,True,1,False,7.227661,24,Female
