ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
4,25,Male,Both,Part 2,4,6.5,54.5,1.5,0,3.6722169,6.7370118,1.554309,0.02199826,0.01684829,0.008171483,0.65772704,1,1,0,6.7134766,0.002678691,5.3,9,7.5
4,25,Male,Electrotactile,Part 2,5,6.3,66.3,1.5,0,3.6177733,6.6659057,1.6066528,0.026456377,0.018392869,0.009720321,0.60311279,1,1,0,6.6423464,0.003914265,5.3,9,7.5
4,25,Male,NoFeedback,Part 2,7,6.5,90.5,1.5,0,3.5822021,6.851416,1.8070313,0.017591805,0.013411438,0.006468478,0.56783448,1,1,0,6.8279663,0.002481925,5.3,9,7.5
4,25,Male,Visual,Part 2,6,6.5,78.5,1.5,0,3.6211183,6.3671142,1.3581541,0.023658004,0.01668924,0.007912704,0.60572509,1,1,0,6.3436402,0.00370991,5.3,9,7.5
5,28,Male,Both,Part 1,3,6.5,42.5,1.5,0,3.7700013,8.1874268,2.7768738,0.010879895,0.008131469,0.00369787,0.75393068,1,1,0,8.1635559,0.001107756,1.8,2.9,2.5
5,28,Male,Electrotactile,Part 1,2,6.5,30.5,1.5,0.1,3.9388916,8.1984955,2.6143798,0.018827159,0.014971246,0.00782141,0.92539676,1,1,0,8.1746673,0.00209121,1.8,2.9,2.5
5,28,Male,NoFeedback,Part 1,0,6.4,6.4,1.5,0,3.8388884,8.2330155,2.8480667,0.027672906,0.018710112,0.009414479,0.82404023,1,1,0,8.2087826,0.003989979,1.8,2.9,2.5
5,28,Male,Visual,Part 1,1,6.5,18.5,1.5,0,3.8577759,8.4428802,2.9396759,0.014855545,0.011346668,0.005506837,0.84323118,1,1,0,8.4190155,0.001382994,1.8,2.9,2.5
5,28,Male,Both,Part 2,7,6.5,90.5,1.5,0,3.6177979,7.5965698,2.4128786,0.00909962,0.006399864,0.005933712,0.60196534,1,1,0,7.5729615,9.36E-04,2,4.8,3.7
5,28,Male,Electrotactile,Part 2,6,6.3,78.3,1.5,0,3.5866638,7.3156188,2.2040953,0.011612987,0.009456714,0.003170968,0.57092285,1,1,0,7.2900878,0.001042896,2,4.8,3.7
5,28,Male,NoFeedback,Part 2,4,6.1,54.1,1.5,0,3.7944399,7.5577148,2.1484497,0.021246123,0.016343307,0.00762178,0.77857054,1,1,0,7.5341673,0.002634416,2,4.8,3.7
5,28,Male,Visual,Part 2,5,6.4,66.4,1.5,0,3.6611083,7.183429,1.9885803,0.010760646,0.007940199,0.003319327,0.6463745,1,1,0,7.1600342,0.00108001,2,4.8,3.7
6,25,Female,Both,Part 1,2,6.5,30.5,1.5,0,3.5299989,6.725879,1.8291138,0.008536296,0.005639205,0.006958012,0.51567993,1,1,0,6.7019104,0.001028233,1,1.8,1.5
6,25,Female,Electrotactile,Part 1,3,6.4,42.4,1.5,0,3.4977722,6.5637694,1.7165771,0.010145162,0.00604711,0.006876975,0.48198243,1,1,0,6.5399903,0.001697104,1,1.8,1.5
6,25,Female,NoFeedback,Part 1,1,6.3,18.3,1.5,0,3.5611084,6.4137816,1.513516,0.024358188,0.015039917,0.007453154,0.54559631,1,1,0,6.3899475,0.004260555,1,1.8,1.5
6,25,Female,Visual,Part 1,0,6.4,6.4,1.5,0,3.5655577,7.4044159,2.411078,0.008030409,0.005889058,0.007303011,0.55018922,1,1,0,7.3803254,8.60E-04,1,1.8,1.5
6,25,Female,Both,Part 2,6,6.5,78.5,1.5,0,3.4888855,6.929132,2.099768,0.006750201,0.004369644,0.008054271,0.47426147,1,1,0,6.9056275,9.73E-04,1.5,3,2.4
6,25,Female,Electrotactile,Part 2,7,6.4,90.4,1.5,0,3.5088989,6.6236817,1.7822508,0.009489562,0.005622922,0.007334073,0.49340819,1,1,0,6.6000244,0.00148019,1.5,3,2.4
6,25,Female,NoFeedback,Part 2,5,6.5,66.5,1.5,0,3.5244569,6.6359191,1.7728882,0.022445886,0.015076519,0.007435114,0.50958252,1,1,0,6.6122559,0.004304496,1.5,3,2.4
6,25,Female,Visual,Part 2,4,6.5,54.5,1.5,0,3.5211181,7.0279784,2.1494141,0.006919006,0.005326163,0.007773443,0.50634763,1,1,0,7.0044678,6.57E-04,1.5,3,2.4
7,33,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.6800049,8.1385559,3.0253905,0.013618171,0.011202374,0.006087999,0.66487734,1,1,0,8.1148773,0.001050859,1.4,2.4,2
7,33,Male,Electrotactile,Part 1,0,6.3,6.3,1.5,0,3.6155548,8.0219638,3.0076264,0.02216718,0.017841667,0.008545876,0.60039977,1,1,0,7.9979005,0.002381388,1.4,2.4,2
7,33,Male,NoFeedback,Part 1,2,6.2,30.2,1.5,0,3.7155578,7.7720704,2.5842897,0.017788567,0.014154582,0.006812933,0.69983518,1,1,0,7.7464905,0.001679468,1.4,2.4,2
7,33,Male,Visual,Part 1,3,6.4,42.4,1.5,0,3.622223,7.4877746,2.4148621,0.016965991,0.013546635,0.005242256,0.60625611,1,1,0,7.463739,0.001737214,1.4,2.4,2
7,33,Male,Both,Part 2,5,6.3,66.3,1.5,0.1,3.5444516,7.6831971,2.6059264,0.008118743,0.005900707,0.008658661,0.52835693,1,1,0,7.6596252,9.10E-04,1.8,3.4,2.7
7,33,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0.1,3.4022156,7.386676,2.27991329,0.009537605,0.007903384,0.0096096,0.38673706,1,1,0,7.3631288,8.34E-04,1.8,3.4,2.7
7,33,Male,NoFeedback,Part 2,6,6.5,78.5,1.5,0,3.5644409,6.3327269,1.3947998,0.025419619,0.020455251,0.010825553,0.55001221,1,1,0,6.3091433,0.002964402,1.8,3.4,2.7
7,33,Male,Visual,Part 2,7,6.2,90.2,1.5,0,3.6155518,7.3200193,2.296106,0.014843845,0.012001906,0.003871522,0.59959716,1,1,0,7.2964476,0.001134837,1.8,3.4,2.7
8,24,Male,Both,Part 1,0,6.5,6.5,1.5,0.2,3.501114,9.7445131,4.3798368,0.01111486,0.009299823,0.007671188,0.48865052,1,1,0,9.7204069,0.001010931,0.6,1.3,1
8,24,Male,Electrotactile,Part 1,1,6.5,18.5,1.5,0,3.622223,8.215167,3.0362792,0.017055776,0.012255631,0.005434553,0.60790405,1,1,0,8.1909482,0.001792145,0.6,1.3,1
8,24,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.5955505,8.5150453,3.3662476,0.021092455,0.016761128,0.006916846,0.57918701,1,1,0,8.4911139,0.002033088,0.6,1.3,1
8,24,Male,Visual,Part 1,2,6.5,30.5,1.5,0.1,3.5566589,7.9986146,2.8300049,0.012293501,0.009333997,0.005378786,0.61483154,1,1,0,7.9747742,0.001316803,0.6,1.3,1
