ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision
14,24,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.625537,7.5055416,2.446936,0.016753766,0.0099529536,0.0105970883,0.61060182,1,1,0,7.4817262,0.0028333773
15,24,Male,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.5622223,7.7354035,2.7530899,0.0055502709,0.0042269065,0.0112112532,0.54691163,1,1,0,7.7111801,7.490089e-4
24,24,Male,Electrotactile,Part 1,1,6.4,18.4,1.5,0,3.7477906,7.1768005,2.0091859,0.011431799,0.0078517481,0.0048974512,0.7326904399999999,1,1,0,7.1494996,0.0013574891
2,25,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6122314,7.7300781,2.6116272,0.016838301,0.012643013,0.0052221911,0.5965332,1,1,0,7.7044434,0.0023217851
4,25,Male,Electrotactile,Part 1,1,6.2,18.2,1.5,0,3.7011169,7.1078979,1.8278016000000001,0.026351876,0.020662211,0.011994597899999999,0.68657225,1,1,0,7.0836547,0.0033654174
22,25,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6900025,10.366448,5.074054,0.0117342637,0.0099292559,0.0063660833,0.67490846,1,1,0,10.342547,6.868122e-4
5,28,Male,Electrotactile,Part 1,2,6.5,30.5,1.5,0.1,3.9388916,8.1984955,2.6143798,0.0188271585,0.014971245900000001,0.0078214095,0.92539676,1,1,0,8.1746673,0.0020912101
16,31,Male,Electrotactile,Part 1,1,6.3,18.3,1.5,0,4.0544373,12.921985,6.2845763,0.0115964112,0.0097828246,0.006907686,1.03884885,1,1,0,12.898395599999999,8.891605e-4
18,31,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.4988892,7.3101319,2.3620972,0.0067139775,0.0047621004,0.0069078466,0.48461306,1,1,0,7.2864075999999995,7.368409e-4
7,33,Male,Electrotactile,Part 1,0,6.3,6.3,1.5,0,3.6155548,8.0219638,3.0076264,0.02216718,0.0178416669,0.008545875599999999,0.60039977,1,1,0,7.9979005,0.0023813882
10,25,Other,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.6177673,7.0512999,1.9011109,0.018966069,0.013977514,0.0052142234,0.60342408,1,1,0,7.0273011,0.0027172573
11,24,Female,NoFeedback,Part 1,2,6.4,30.4,1.5,0,3.5722228,7.4910914,2.5792542,0.0192376633,0.0133668669,0.0069234408,0.55744934,1,1,0,7.4672148,0.0031444923
13,24,Female,NoFeedback,Part 1,0,6.5,6.5,1.5,0.3,3.71221902,13.2184944,7.5126976,0.0118956921,0.0087814852999999991,0.0082232774,1.02644353,1,1,0,13.1938065,0.0013520879
21,24,Female,NoFeedback,Part 1,0,6.5,6.5,1.5,0.1,3.9477784,12.2513724,5.8592712,0.030869503,0.021349906000000002,0.0145521142,0.93140868,1,1,0,12.2263698,0.0049216069
6,25,Female,NoFeedback,Part 1,1,6.3,18.3,1.5,0,3.5611084,6.4137816,1.513516,0.024358188,0.0150399172,0.007453154,0.54559631,1,1,0,6.3899475,0.0042605547
23,26,Female,NoFeedback,Part 1,2,6.4,30.4,1.5,0,3.4977844,7.5744141,2.6207948,0.0184084484,0.0140975103,0.0069410171,0.48455812,1,1,0,7.5481262000000005,0.0017335557
12,27,Female,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.5422241,6.3415953,1.4698303,0.016245958,0.0103825195,0.0044062942,0.52720338,1,1,0,6.3176514,0.0021304622
3,23,Male,NoFeedback,Part 1,2,6.5,30.5,1.5,0,3.4544435,6.5471376,1.7558533,0.012573353,0.010174342900000001,0.0065530843,0.43948974,1,1,0,6.5204651,0.0010443466
19,23,Male,NoFeedback,Part 1,2,6.5,30.5,1.5,0.1,3.5244506,7.8231321000000005,2.6373231,0.02828486,0.0176007512,0.0113987366,0.63699339,1,1,0,7.7993775,0.0055990936
1,24,Male,NoFeedback,Part 1,0,6.5,6.5,1.5,0,3.7800019,10.100107,4.8786434,0.0097291018,0.0074446282,0.0083414722,0.76572273,1,1,0,10.0707758,0.0010381868
8,24,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.5955505,8.5150453,3.3662476,0.021092455,0.0167611279,0.0069168460999999995,0.5791870100000001,1,1,0,8.4911139,0.0020330878
14,24,Male,NoFeedback,Part 1,1,6.4,18.4,1.5,0,3.8555665,7.7342984,2.4767853,0.0176593453,0.0106342502,0.0081977943,0.8393341200000001,1,1,0,7.7103608999999995,0.003612682
15,24,Male,NoFeedback,Part 1,2,6.5,30.5,1.5,0,3.6577698,10.5063777,5.4972956,0.0074992549,0.006079002,0.0081046905,0.64382016,1,1,0,10.4824927,6.105275e-4
24,24,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.9011107000000003,6.8481385,1.5907776,0.018155813,0.0124098488,0.0045924249,0.88482672,1,1,0,6.823938,0.0025009521
2,25,Male,NoFeedback,Part 1,1,6.5,18.5,1.5,0,3.6999938,7.3668794,2.2963744999999998,0.024353082,0.02062623,0.0108832581,0.68559264,1,1,0,7.3412049,0.0021606572
4,25,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.616687,6.6558227,1.5379029,0.02547796,0.018801751,0.009876602,0.59974367,1,1,0,6.6323241,0.0035446197
22,25,Male,NoFeedback,Part 1,1,6.4,18.4,1.5,0,3.7166779,9.8831726,4.5313782,0.013861395700000001,0.0111078814,0.0069694787,0.70284423,1,1,0,9.8586514,0.0013993813
5,28,Male,NoFeedback,Part 1,0,6.4,6.4,1.5,0,3.8388884,8.2330155,2.8480667,0.027672906,0.018710112,0.0094144787,0.82404023,1,1,0,8.2087826,0.0039899785
16,31,Male,NoFeedback,Part 1,3,6.5,42.5,1.5,0,3.852234,10.6752136,5.2690189,0.0168052639,0.0114117799,0.0086720432,0.83723759,1,1,0,10.6513482,0.002485442
